periodo,producto,fecha_creacion,fecha_ultimo_pago,valor_original,valor_pagado,valor_pendiente,tipo_transaccion,pagada
2025-10,AHORRO,2025-02-11,2025-04-11,154.08,154.08,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-11-03,2025-09-21,1278.25,1278.25,0.0,CARGO FISCAL IVA TRASLADO,1
2025-10,AHORRO,2025-05-01,2025-06-25,5646.89,5646.89,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-12-22,2025-07-14,285.77,257.19,28.58,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2025-02-22,2025-09-01,17048.76,17048.76,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-05-21,2025-07-22,370.19,370.19,0.0,TRANSFERENCIA CANAL FISICO,1
2025-10,AHORRO,2025-05-03,2025-08-03,27623.59,27623.59,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-12-30,2025-07-16,693.88,693.88,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-11-27,2025-03-28,2039.71,2039.71,0.0,PAGO SERVICIO ELECTRONICO,1
2025-10,AHORRO,2025-03-12,2025-06-16,637.51,573.76,63.75,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2025-02-01,2025-08-21,1464.14,1464.14,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-07-06,2025-09-29,1383.44,0.0,1383.44,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2025-01-06,2025-01-07,1001.68,1001.68,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-03-09,2025-08-20,1495.84,1056.81,439.03,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2025-04-19,2025-05-03,22000.35,19800.31,2200.04,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2025-01-22,2025-09-02,6873.66,6873.66,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-10-17,2025-09-01,3305.85,3305.85,0.0,COMISION TRANSFERENCIA EXTERNA A,1
2025-10,AHORRO,2025-06-05,2025-08-16,300000.0,300000.0,0.0,DEBITO ABONO CARTERA,1
2025-10,AHORRO,2025-04-10,2025-09-07,5890.14,0.0,5890.14,COMISION CONSULTA SALDO,0
2025-10,AHORRO,2024-10-19,2025-03-16,4607.31,4146.58,460.73,COMISION RETIRO CANAL A,0
2025-10,AHORRO,2025-01-03,2025-08-20,6643.8,6643.8,0.0,COMISION RETIRO INTERNACIONAL,1
2025-10,AHORRO,2025-06-28,2025-08-03,4053.05,3647.75,405.3,CARGO FISCAL IVA COMISION B,0
2025-10,AHORRO,2025-01-17,2025-02-17,877.94,877.94,0.0,COMISION RETIRO CORRESPONSAL B,1
2025-10,AHORRO,2024-10-29,2024-11-17,355.69,355.69,0.0,TRANSFERENCIA BOTON DIGITAL,1
2025-10,AHORRO,2024-12-15,2025-08-07,4458.15,4458.15,0.0,COMISION RETIRO CANAL A,1
2025-10,AHORRO,2025-01-04,2025-01-12,6653.95,6653.95,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-25,2025-08-05,148.25,148.25,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-02-12,2025-05-06,3417.62,3075.86,341.76,APERTURA INVERSION VIRTUAL,0
2025-10,AHORRO,2024-12-30,2025-01-20,2345.47,2110.92,234.55,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2025-06-29,2025-08-02,3187.36,3187.36,0.0,COMISION CONSULTA SALDO,1
2025-10,AHORRO,2025-03-11,2025-05-14,280.22,280.22,0.0,TRANSFERENCIA BOTON DIGITAL,1
2025-10,AHORRO,2025-04-10,2025-05-18,3259.68,3259.68,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-09,2025-08-10,2831.48,2548.33,283.15,COMISION RETIRO CORRESPONSAL B,0
2025-10,AHORRO,2024-12-04,2024-12-14,2123.66,2123.66,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-04-04,2025-04-20,1382.34,1382.34,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-21,2025-08-26,862.72,862.72,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-03-09,2025-07-03,41755.45,4285.89,37469.56,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2024-11-08,2025-02-25,19675.99,19675.99,0.0,COMISION TRANSFERENCIA EXTERNA A,1
2025-10,AHORRO,2025-03-23,2025-06-10,87832.47,87832.47,0.0,PAGO SERVICIO ELECTRONICO,1
2025-10,AHORRO,2024-10-19,2025-03-29,22227.01,16179.36,6047.65,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2024-11-03,2025-06-01,28129.34,28129.34,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-02-09,2025-04-05,1331.77,1331.77,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-11-12,2024-12-01,539.85,539.85,0.0,PAGO PUNTO EXTERNO,1
2025-10,AHORRO,2025-03-23,2025-07-03,527.54,527.54,0.0,CARGO MORA OBLIGACION,1
2025-10,AHORRO,2025-06-10,2025-07-16,1170.4,0.0,1170.4,COMISION CONSULTA SALDO,0
2025-10,AHORRO,2024-11-10,2025-09-06,1419.07,1419.07,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-04-09,2025-07-24,2443.06,2443.06,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-04-23,2025-07-17,468.97,468.97,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-28,2025-05-30,595.69,595.69,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-06-09,2025-08-15,6487.36,6487.36,0.0,CARGO FISCAL IVA TRASLADO,1
2025-10,AHORRO,2025-05-22,2025-06-18,1041.07,1041.07,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-02-07,2025-05-12,913.43,0.0,913.43,COBRO SERVICIO TRANSPORTE,0
2025-10,AHORRO,2025-01-01,2025-06-30,719.86,647.87,71.99,CARGO FISCAL IVA TRASLADO,0
2025-10,AHORRO,2024-10-23,2025-06-29,7790.26,7790.26,0.0,CARGO FISCAL IVA COMISION B,1
2025-10,AHORRO,2024-12-31,2025-01-12,1239.73,1239.73,0.0,COMISION CONSULTA SALDO,1
2025-10,AHORRO,2025-06-28,2025-09-15,1116.18,1116.18,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-06-23,2025-07-06,271.54,271.54,0.0,OPERACION CAMBIO DIVISAS,1
2025-10,AHORRO,2024-11-03,2025-05-15,4948.28,4948.28,0.0,PAGO PLATAFORMA ELECTRONICA,1
2025-10,AHORRO,2025-02-14,2025-05-03,1175.95,0.0,1175.95,TRANSFERENCIA BILLETERA A,0
2025-10,AHORRO,2025-05-05,2025-09-12,6373.0,6373.0,0.0,COMISION CANAL TELEFONICO,1
2025-10,AHORRO,2024-12-02,2024-12-20,111.02,99.92,11.1,PAGO PROGRAMADO,0
2025-10,AHORRO,2025-06-03,2025-06-12,767.01,767.01,0.0,COMISION TRANSFERENCIA EXTERNA B,1
